id;timestamp;cpu;total_ram;ram_usada;ram_percent;ram_quente;ram_fria;disco_percent;bytesEnv;bytesRecb;latencia;pacotes_enviados;pacotes_recebidos;pacotes_perdidos;qtd_processos;uptime_segundos
a;2025-11-25 21:47:22;35.0;16863318016.0;14355345408.0;85.13;11915890688.0;2439454720.0;78.2;6921;4767;0.007;21163;55689;0;374;1060279
a;2025-11-25 21:47:33;23.6;16863318016.0;14435835904.0;85.6;12010782720.0;2425053184.0;78.2;5000;8959;0.006;21183;55715;0;378;1060289
a;2025-11-25 21:47:43;24.8;16863318016.0;14329696256.0;84.98;11797434368.0;2532261888.0;78.2;577;2539;0.006;21189;55729;0;378;1060299
a;2025-11-25 21:47:53;15.8;16863318016.0;14339600384.0;85.03;11827421184.0;2512179200.0;78.2;8089;3539;0.007;21204;55751;0;378;1060309
a;2025-11-25 21:48:03;9.0;16863318016.0;14269779968.0;84.62;11688312832.0;2581467136.0;78.2;451;602;0.007;21209;55758;0;378;1060319
a;2025-11-25 21:48:13;9.3;16863318016.0;14221955072.0;84.34;11588141056.0;2633814016.0;78.2;9787;4474;0.008;21224;55781;0;378;1060330
a;2025-11-25 21:48:23;9.7;16863318016.0;14229729280.0;84.38;11607220224.0;2622509056.0;78.2;20102;66631;0.007;21272;55870;0;378;1060340
a;2025-11-25 21:48:33;8.6;16863318016.0;14217895936.0;84.31;11592732672.0;2625163264.0;78.2;946;1143;0.007;21283;55883;0;377;1060350
a;2025-11-25 21:48:44;9.8;16863318016.0;14257623040.0;84.55;11663884288.0;2593738752.0;78.2;6174;10677;0.006;21308;55910;0;378;1060360
a;2025-11-25 21:48:54;11.9;16863318016.0;14113153024.0;83.69;11510640640.0;2602512384.0;78.2;24349;57400;0.007;21370;56026;0;377;1060370
a;2025-11-25 21:49:04;8.1;16863318016.0;14126051328.0;83.77;11522260992.0;2603790336.0;78.2;310;450;0.008;21373;56031;0;376;1060380
a;2025-11-25 21:49:14;8.5;16863318016.0;14120771584.0;83.74;11517673472.0;2603098112.0;78.2;420;730;0.007;21377;56038;0;376;1060390
