id;timestamp;cpu;total_ram;ram_usada;ram_percent;ram_quente;ram_fria;disco_percent;bytesEnv;bytesRecb;usoRedeMb;latencia;pacotes_enviados;pacotes_recebidos;pacotes_perdidos;qtd_processos;uptime_segundos;statusCpu;statusRam;statusDisco;statusUsoRede;statusLatencia
a;2025-11-25 21:47:22;35.0;1.6863318016E10;1.4355345408E10;85.13;1.1915890688E10;2.43945472E9;78.2;6921;4767;0.0;0.007;21163;55689;0;374;1060279;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:47:33;23.6;1.6863318016E10;1.4435835904E10;85.6;1.201078272E10;2.425053184E9;78.2;5000;8959;0.0;0.006;21183;55715;0;378;1060289;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:47:43;24.8;1.6863318016E10;1.4329696256E10;84.98;1.1797434368E10;2.532261888E9;78.2;577;2539;0.0;0.006;21189;55729;0;378;1060299;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:47:53;15.8;1.6863318016E10;1.4339600384E10;85.03;1.1827421184E10;2.5121792E9;78.2;8089;3539;0.0;0.007;21204;55751;0;378;1060309;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:48:03;9.0;1.6863318016E10;1.4269779968E10;84.62;1.1688312832E10;2.581467136E9;78.2;451;602;0.0;0.007;21209;55758;0;378;1060319;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:48:13;9.3;1.6863318016E10;1.4221955072E10;84.34;1.1588141056E10;2.633814016E9;78.2;9787;4474;0.0;0.008;21224;55781;0;378;1060330;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:48:23;9.7;1.6863318016E10;1.422972928E10;84.38;1.1607220224E10;2.622509056E9;78.2;20102;66631;0.0;0.007;21272;55870;0;378;1060340;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:48:33;8.6;1.6863318016E10;1.4217895936E10;84.31;1.1592732672E10;2.625163264E9;78.2;946;1143;0.0;0.007;21283;55883;0;377;1060350;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:48:44;9.8;1.6863318016E10;1.425762304E10;84.55;1.1663884288E10;2.593738752E9;78.2;6174;10677;0.0;0.006;21308;55910;0;378;1060360;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:48:54;11.9;1.6863318016E10;1.4113153024E10;83.69;1.151064064E10;2.602512384E9;78.2;24349;57400;0.0;0.007;21370;56026;0;377;1060370;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:49:04;8.1;1.6863318016E10;1.4126051328E10;83.77;1.1522260992E10;2.603790336E9;78.2;310;450;0.0;0.008;21373;56031;0;376;1060380;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
a;2025-11-25 21:49:14;8.5;1.6863318016E10;1.4120771584E10;83.74;1.1517673472E10;2.603098112E9;78.2;420;730;0.0;0.007;21377;56038;0;376;1060390;NORMAL;NORMAL;NORMAL;NORMAL;NORMAL
